NO,NAMA JAMU,KHASIAT,KANDUNGAN,ATURAN MINUM,EFEK SAMPING,JENIS,PRODUSEN,KATEGORI,LOKASI PEMASARAN,LOKASI PRODUKSI,KABUPATEN,PERIZINAN,
1,Galian Rapat Wangi,"mengurangi bau badan, mengurangi bau tidak sedap serta membuat rapet dan keset area kewanitaan","kunci, kunyit, pinang muda parabes","Untuk mencegah keputihan dan kelebihan lendir : Minum secara teratur 1 x sehari 4 pil hingga sembuh : Untuk mencegah bau badan, bau keringat dan bau mulut : 1 x sehari 4 pil setiap pagi",tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,Jamu Perawatan Kewanitaan
2,Empot-empot legit,"Mengurangi lendir berlebih, mengatasi keputihan serta menimbulkan sensasi denyut saat berhubungan","kunci, kunyit, pinang muda parabes","Diminum langsung 10 pil, 30-45menit sebelum makan atau satu jam sebelum berhubungan badan",tidak ada,pil,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,Jamu Pasutri
3,galian singset,"mengurangi lemak dalam tubuh, menambah nafsu makan dan melancarkan BAB","kunyit, daun sirih, delima putih",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,Jamu Kesehatan
4,jamu kecantikan,"perawatan khusus remaja putri, mengurangi bau badan dan mengatasi keputihan","daun sirih, kunyit, kulit manggis, kunci, pinang muda",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
5,jamu galian montok,untuk menambah nafsu makan,"temulawak , jahe",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
6,jamu terlambat bulan (lancar darah),mengurangi nyeri haid dan melancarkan peredaran darah sehingga lebih teratur,"kunyit, kunci","TERLAMBAT 1 - 5 HARI : MINUMLAH 3 X 2 KAPSUL SEHARI, TERLAMBAT 5 HARI LEBIH : MINUMLAH 3 X 5 KAPSUL SEHARI",tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
7,jamu melancarkan asi (pejje),melancarkan keluarnya ASI,"daun katule,kedawung, morinya, kulit manggis, temu ireng",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
8,serbuk wasiat dan butiran delima,mengatasi keputihan dan lendir berlebih di area kewanitaan,"manjakani, daun sirih, pinang muda, air kapur sirih",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
9,parfum rempah,menyegarkan bau badan dengan aroma khas rempah khas,"kayu gaharu, sentok",semprotkan secukupnya di area badan yang bau,tidak ada,cair,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
10,cebokan rempah,mengatasi keputihan dan gatal akibat bakteri dan jamur,"temu gunung, daun sirih",Semprotkan ke area kewanitaan setelah buang air kecil secukupnya,tidak ada,serbuk,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
11,pancuran nikmat,antiseptik kewanitaan tanpa dibilas,"daun sirih, air kapur sirih, kunci",Semprot 2-3 kali ke area kewanitaan setelah buang air kecil,tidak ada,cair,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
12,sabun kesed,sabun khusus wanita untuk mengatasi keputihan,"minyak zaitun, daun sirihair kapur sirih, essence","Disabunkan pada vagina bagian dalam dan luar merata, di diamkan kurang lebih 1 menit",tidak ada,cair,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
13,v-spa rempah,detoksifikasi kewanitaan agar bebas keputihan dan bau yang kurang sedap,"kayu gaharu, seccang, sentok, temu gunung, pandiyan","Rebus 1 bungkus V spa dengan 1 liter air sampai mendidih, Lalu saring air rebusannya, Uap rebusan dapat di jadikan uap untuk area miss V, Air rebusan yang hangat di gunakan untuk cebok /membasuh miss V",tidak ada,serbuk,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
14,jamu bersalin,"perawatan khusus pasca melahirkan, mengembalikan tubuh seperti semula, melancarkan ASI dan mencegah timbulnya varises","jamu asi, param atas, param bawah, cebokan, dupa, godokan temulawak, jamu 40hari tapel pales",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
15,paket perawatan pranikah,"mengurangi bau badan, membuat kulit bersih dan lebih cerah","lulur rempah, mandi rempah dupa, sabun keset, godokan rapetwangi, arfum rempah cemceman rambut",Rangkaian perawatan dipakai mulai 2-3minggu sebelum hari H agar hasil lebih optimal,tidak ada,serbuk,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
16,1 paket ramuan khusus wanita,perawatan khusus wanita untuk menjaga tubuh tetap prima dan hubungan suami istri makin mesra,"rapet wangi, empot, butiran delima, pancuran nikmat",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
17,jamu penyubur kandungan,menyuburkan kandungan,"kunyit, temu gunung sentok, temulawak",Minumlah secara teratur 2 kali sehari @5 pil.,tidak ada,pil,Madura Sari,Jamu Perawatan Kewanitaan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
18,cemceman rambut,mengatasi ketombe dan kerontokan rambut,"jeruk purut, sentok",semprotkan pada rambut setelah keramas atau mau tidur,tidak ada,cair,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
19,minyak bulus,mengencangkan kulit dan area khusus intim  baik pria maupun wanita (pasutri),konsentrat lemak penyu air tawar,Oleskan minyak bulus secukupnya pada area yang diinginkan. Diamkan selama 15-30 menit kemudian bilas dengan air hangat hingga bersih,tidak ada,cair,Madura Sari,Jamu Pasutri,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
20,minyak zaitun,merawat mengencangkan & menghaluskan kulit muka dan seluruh tubuh,Ekstrak buah zaitun,Oleskan minyak zaitun secukupnya pada area tubuh yang diinginkan. Bilas hingga bersih.,tidak ada,cair,Madura Sari,Jamu Kesehatan,Jl Pahlawan 21 Sampang,Jl Pahlawan 21 Sampang,Sampang,KEMENKES,
